,Unnamed: 0,Country,Country Code,Series,Series Code,2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2020 [YR2020]
189,189,Faeroe Islands,FRO,PISA: Mean performance on the mathematics scale,LO.PISA.MAT,,,,,,,,,
190,190,Faeroe Islands,FRO,PISA: Mean performance on the reading scale,LO.PISA.REA,,,,,,,,,
191,191,Faeroe Islands,FRO,PISA: Mean performance on the science scale,LO.PISA.SCI,,,,,,,,,
192,192,Fiji,FJI,PISA: Mean performance on the mathematics scale,LO.PISA.MAT,,,,,,,,,
193,193,Fiji,FJI,PISA: Mean performance on the reading scale,LO.PISA.REA,,,,,,,,,
194,194,Fiji,FJI,PISA: Mean performance on the science scale,LO.PISA.SCI,,,,,,,,,
195,195,Finland,FIN,PISA: Mean performance on the mathematics scale,LO.PISA.MAT,,540.5043480713961,,,518.750335282979,,,,
196,196,Finland,FIN,PISA: Mean performance on the reading scale,LO.PISA.REA,,535.877984494657,,,524.021669693511,,,,
197,197,Finland,FIN,PISA: Mean performance on the science scale,LO.PISA.SCI,,554.079510006501,,,545.441939987881,,,,
198,198,France,FRA,PISA: Mean performance on the mathematics scale,LO.PISA.MAT,,496.782310397535,,,494.98467432064,,,,
199,199,France,FRA,PISA: Mean performance on the reading scale,LO.PISA.REA,,495.6165413109449,,,505.481483378022,,,,
200,200,France,FRA,PISA: Mean performance on the science scale,LO.PISA.SCI,,498.22689391510994,,,498.970894151481,,,,
201,201,French Polynesia,PYF,PISA: Mean performance on the mathematics scale,LO.PISA.MAT,,,,,,,,,
202,202,French Polynesia,PYF,PISA: Mean performance on the reading scale,LO.PISA.REA,,,,,,,,,
203,203,French Polynesia,PYF,PISA: Mean performance on the science scale,LO.PISA.SCI,,,,,,,,,
204,204,Gabon,GAB,PISA: Mean performance on the mathematics scale,LO.PISA.MAT,,,,,,,,,
205,205,Gabon,GAB,PISA: Mean performance on the reading scale,LO.PISA.REA,,,,,,,,,
206,206,Gabon,GAB,PISA: Mean performance on the science scale,LO.PISA.SCI,,,,,,,,,
207,207,"Gambia, The",GMB,PISA: Mean performance on the mathematics scale,LO.PISA.MAT,,,,,,,,,
208,208,"Gambia, The",GMB,PISA: Mean performance on the reading scale,LO.PISA.REA,,,,,,,,,
209,209,"Gambia, The",GMB,PISA: Mean performance on the science scale,LO.PISA.SCI,,,,,,,,,
210,210,Georgia,GEO,PISA: Mean performance on the mathematics scale,LO.PISA.MAT,,379.490958938783,,,,,,,
211,211,Georgia,GEO,PISA: Mean performance on the reading scale,LO.PISA.REA,,374.259872595934,,,,,,,
212,212,Georgia,GEO,PISA: Mean performance on the science scale,LO.PISA.SCI,,372.652949131624,,,,,,,
213,213,Germany,DEU,PISA: Mean performance on the mathematics scale,LO.PISA.MAT,,512.777642599843,,,513.525055819929,,,,
214,214,Germany,DEU,PISA: Mean performance on the reading scale,LO.PISA.REA,,497.305058150888,,,507.6765297655329,,,,
215,215,Germany,DEU,PISA: Mean performance on the science scale,LO.PISA.SCI,,520.405349483897,,,524.120799257005,,,,
216,216,Ghana,GHA,PISA: Mean performance on the mathematics scale,LO.PISA.MAT,,,,,,,,,
217,217,Ghana,GHA,PISA: Mean performance on the reading scale,LO.PISA.REA,,,,,,,,,
218,218,Ghana,GHA,PISA: Mean performance on the science scale,LO.PISA.SCI,,,,,,,,,
219,219,Greece,GRC,PISA: Mean performance on the mathematics scale,LO.PISA.MAT,,466.096372858553,,,452.973426858908,,,,
220,220,Greece,GRC,PISA: Mean performance on the reading scale,LO.PISA.REA,,482.776241961289,,,477.197176517918,,,,
221,221,Greece,GRC,PISA: Mean performance on the science scale,LO.PISA.SCI,,470.115764238205,,,466.7220294888221,,,,
222,222,Greenland,GRL,PISA: Mean performance on the mathematics scale,LO.PISA.MAT,,,,,,,,,
223,223,Greenland,GRL,PISA: Mean performance on the reading scale,LO.PISA.REA,,,,,,,,,
224,224,Greenland,GRL,PISA: Mean performance on the science scale,LO.PISA.SCI,,,,,,,,,
225,225,Grenada,GRD,PISA: Mean performance on the mathematics scale,LO.PISA.MAT,,,,,,,,,
226,226,Grenada,GRD,PISA: Mean performance on the reading scale,LO.PISA.REA,,,,,,,,,
227,227,Grenada,GRD,PISA: Mean performance on the science scale,LO.PISA.SCI,,,,,,,,,
228,228,Guam,GUM,PISA: Mean performance on the mathematics scale,LO.PISA.MAT,,,,,,,,,
229,229,Guam,GUM,PISA: Mean performance on the reading scale,LO.PISA.REA,,,,,,,,,
230,230,Guam,GUM,PISA: Mean performance on the science scale,LO.PISA.SCI,,,,,,,,,
231,231,Guatemala,GTM,PISA: Mean performance on the mathematics scale,LO.PISA.MAT,,,,,,,,,
232,232,Guatemala,GTM,PISA: Mean performance on the reading scale,LO.PISA.REA,,,,,,,,,
233,233,Guatemala,GTM,PISA: Mean performance on the science scale,LO.PISA.SCI,,,,,,,,,
234,234,Guinea,GIN,PISA: Mean performance on the mathematics scale,LO.PISA.MAT,,,,,,,,,
235,235,Guinea,GIN,PISA: Mean performance on the reading scale,LO.PISA.REA,,,,,,,,,
236,236,Guinea,GIN,PISA: Mean performance on the science scale,LO.PISA.SCI,,,,,,,,,
237,237,Guinea-Bissau,GNB,PISA: Mean performance on the mathematics scale,LO.PISA.MAT,,,,,,,,,
238,238,Guinea-Bissau,GNB,PISA: Mean performance on the reading scale,LO.PISA.REA,,,,,,,,,
239,239,Guinea-Bissau,GNB,PISA: Mean performance on the science scale,LO.PISA.SCI,,,,,,,,,
240,240,Guyana,GUY,PISA: Mean performance on the mathematics scale,LO.PISA.MAT,,,,,,,,,
241,241,Guyana,GUY,PISA: Mean performance on the reading scale,LO.PISA.REA,,,,,,,,,
242,242,Guyana,GUY,PISA: Mean performance on the science scale,LO.PISA.SCI,,,,,,,,,
243,243,Haiti,HTI,PISA: Mean performance on the mathematics scale,LO.PISA.MAT,,,,,,,,,
244,244,Haiti,HTI,PISA: Mean performance on the reading scale,LO.PISA.REA,,,,,,,,,
245,245,Haiti,HTI,PISA: Mean performance on the science scale,LO.PISA.SCI,,,,,,,,,
246,246,Honduras,HND,PISA: Mean performance on the mathematics scale,LO.PISA.MAT,,,,,,,,,
247,247,Honduras,HND,PISA: Mean performance on the reading scale,LO.PISA.REA,,,,,,,,,
248,248,Honduras,HND,PISA: Mean performance on the science scale,LO.PISA.SCI,,,,,,,,,
249,249,"Hong Kong SAR, China",HKG,PISA: Mean performance on the mathematics scale,LO.PISA.MAT,,554.527506471969,,,561.241096454551,,,,
250,250,"Hong Kong SAR, China",HKG,PISA: Mean performance on the reading scale,LO.PISA.REA,,533.1512680247059,,,544.60008598693,,,,
